"Ссылка на 
аккаунт 
Tik-Tok","Название 
аккаунта","Кол-во
подписчиков
Tik-Tok",Средние просмотры,Изменение просмотры,Средние Лайки,Изменеие лайки,ПЭА,Дата обновления,Цена ТТ,Способ связи,,,,,Расчетная цена
https://www.tiktok.com/@maksbraun,maksbraun,6 400 000,0,0,0,0,"0,00",22.12.2020 6:21:15,,,,,,,0
https://www.tiktok.com/@anastasia_yseeva_17,anastasia_yseeva_17,7 100 000,0,0,0,0,"0,00",22.12.2020 6:22:29,,,,,,,
https://vm.tiktok.com/x74c1N/,dodoim1007,99 400,0,0,0,0,"0,00",22.12.2020 6:23:43,,,,,,,
https://www.tiktok.com/@egorkaship_official,egorkaship_official,7 400 000,0,0,0,0,"0,00",22.12.2020 6:24:58,,,,,,,
https://vm.tiktok.com/Q2CxU8/,teremvkusa,2 000 000,0,0,0,0,"0,00",22.12.2020 6:35:16,,,,,,,
https://www.tiktok.com/@deepins,deepins,11 000 000,0,0,0,0,"0,00",22.12.2020 6:36:28,,,,,,,
https://vm.tiktok.com/QFUngL/,youneszarou,error,error,error,error,error,error,22.12.2020 5:28:11,,,,,,,
https://vm.tiktok.com/QLmCAD/,dodoim1007,99 400,0,0,0,0,"0,00",22.12.2020 5:29:24,,,,,,,
https://www.tiktok.com/@jagr.mlb,jagr.mlb,5,0,0,0,0,"0,00",22.12.2020 5:30:32,,,,,,,
https://vm.tiktok.com/Cn2Gjy/,volodya.xxl,3 300 000,0,0,0,0,"0,00",22.12.2020 5:49:17,,,,,,,
https://www.tiktok.com/@nikula235,nikula235,1 300 000,0,0,0,0,"0,00",22.12.2020 5:50:30,,,,,,,
https://vm.tiktok.com/Qd5WmA/,maxime_spam1,error,error,error,error,error,error,22.12.2020 5:51:40,,,,,,,
https://vm.tiktok.com/4kPCsU/,wmrrrw,1 000 000,0,0,0,0,"0,00",22.12.2020 5:52:54,,,,,,,
https://vm.tiktok.com/x92Lo6/,dodoim1007,99 400,0,0,0,0,"0,00",22.12.2020 5:56:16,,,,,,,
https://vm.tiktok.com/Qr5Yan/,victoria.tsuranova,error,error,error,error,error,error,22.12.2020 5:57:27,,,,,,,
https://vm.tiktok.com/xHkR4g/,goldenstar2k20,error,error,error,error,error,error,22.12.2020 5:58:35,,,,,,,
https://vm.tiktok.com/QdHWK1/,dodoim1007,99 400,0,0,0,0,"0,00",22.12.2020 6:07:16,,,,,,,
https://vm.tiktok.com/QdXHbf/,amongusglasses,error,error,error,error,error,error,22.12.2020 6:08:27,,,,,,,
https://vm.tiktok.com/xu4UV3/,dodoim1007,99 400,0,0,0,0,"0,00",22.12.2020 6:09:40,,,,,,,
https://www.tiktok.com/@milmraz,milmraz,452 700,0,0,0,0,"0,00",22.12.2020 6:10:54,,,,,,,
https://vm.tiktok.com/4MhoLE/,elissabesst,9 200 000,0,0,0,0,"0,00",22.12.2020 6:14:16,,,,,,,
https://www.tiktok.com/@vlad13len666,vlad13len666,661 400,0,0,0,0,"0,00",22.12.2020 6:15:30,,,,,,,
https://vm.tiktok.com/QrX6sH/,dodoim1007,99 400,0,0,0,0,"0,00",22.12.2020 6:16:44,,,,,,,
https://www.tiktok.com/@misha.yurch,misha.yurch,804 800,0,0,0,0,"0,00",22.12.2020 6:17:57,,,,,,,
https://vm.tiktok.com/xb7duM/,dodoim1007,99 400,0,0,0,0,"0,00",22.12.2020 6:28:16,,,,,,,
https://www.tiktok.com/@mishaakrosh,mishaakrosh,555 200,0,0,0,0,"0,00",22.12.2020 6:29:29,,,,,,,
https://www.tiktok.com/@tvoya_malyshka001_,tvoya_malyshka001_,1 700 000,0,0,0,0,"0,00",22.12.2020 6:37:41,,,,,,,
https://www.tiktok.com/@tvoya_malyshka001_,tvoya_malyshka001_,1 700 000,0,0,0,0,"0,00",22.12.2020 6:38:55,,,,,,,
https://www.tiktok.com/@nastpavlova.hi,nastpavlova.hi,294 800,0,0,0,0,"0,00",22.12.2020 6:42:15,,,,,,,
https://vm.tiktok.com/4kyYXD/,sosrosee,236 700,0,0,0,0,"0,00",22.12.2020 6:43:29,,,,,,,
https://vm.tiktok.com/C7R8uY/,ekaterishsh,628 200,0,0,0,0,"0,00",22.12.2020 6:44:43,,,,,,,
https://vm.tiktok.com/CWaBMQ/,mimikliffi,4 400 000,0,0,0,0,"0,00",22.12.2020 6:45:58,,,,,,,
https://vm.tiktok.com/QrCWGV/,dodoim1007,99 500,0,0,0,0,"0,00",22.12.2020 6:49:16,,,,,,,
https://vm.tiktok.com/QFbUrE/,dodoim1007,99 500,0,0,0,0,"0,00",22.12.2020 6:50:29,,,,,,,
https://www.tiktok.com/@doskamt,doskamt,error,error,error,error,error,error,22.12.2020 18:00:09,,,,,,,
https://www.tiktok.com/@aloyouiii,aloyouiii,550 800,0,0,0,0,"0,00",22.12.2020 18:01:25,,,,,,,
https://vm.tiktok.com/x7W2u4/,teremvkusa,2 100 000,0,0,0,0,"0,00",22.12.2020 18:02:37,,,,,,,
https://www.tiktok.com/@_yann._,_yann._,1 300 000,0,0,0,0,"0,00",22.12.2020 18:03:51,,,,,,,
